Title,Year,Age Restrictions,Run Time,Genres,Plot,Ratings,Director,Writers,Actors,Runtime (minutes)
The Hunger Games: The Ballad of Songbirds & Snakes,2023,PG-13,2h 37m,Action Adventure Drama,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,7.2,Francis Lawrence,Michael LesslieMichael ArndtSuzanne Collins,Rachel ZeglerTom BlythViola Davis,157.0
The Hunger Games: The Ballad of Songbirds & Snakes,2023,PG-13,2h 37m,Action Adventure Drama,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,7.2,Francis Lawrence,Michael LesslieMichael ArndtSuzanne Collins,Rachel ZeglerTom BlythViola Davis,157.0
Tiger 3,2023,,,Action Adventure Thriller,Tiger and Zoya are back - to save the country and their family. This time it's personal.,7.7,Maneesh Sharma,Shridhar RaghavanAnckur ChaudhryAditya Chopra,Salman KhanKatrina KaifEmraan Hashmi,
Madame Web,2024,,,Action Adventure Sci-Fi,Madame Web tells the standalone origin story of one of Marvel publishing's most enigmatic heroines.,,S.J. Clarkson,Claire ParkerS.J. ClarksonKerem Sanga,Claire ParkerS.J. ClarksonKerem Sanga,
Five Nights at Freddy's,2023,PG-13,1h 49m,Horror Mystery Thriller,"A troubled security guard begins working at Freddy Fazbear's Pizza. During his first night on the job, he realizes that the night shift won't be so easy to get through. Pretty soon he will unveil what actually happened at Freddy's.",5.5,Emma Tammi,Scott CawthonSeth CuddebackEmma Tammi,Scott CawthonSeth CuddebackEmma Tammi,109.0
Oppenheimer,2023,R,3h,Biography Drama History,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",8.5,Christopher Nolan,Christopher NolanKai BirdMartin Sherwin,Cillian MurphyEmily BluntMatt Damon,
The Creator,2023,PG-13,2h 13m,Action Adventure Drama,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child.",7.0,Gareth Edwards,Gareth EdwardsChris Weitz,Gareth EdwardsChris Weitz,133.0
Killers of the Flower Moon,2023,R,3h 26m,Crime Drama History,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",8.0,Martin Scorsese,Eric RothMartin ScorseseDavid Grann,Leonardo DiCaprioRobert De NiroLily Gladstone,206.0
Damsel,2024,PG-13,1h 25m,Action Adventure Fantasy,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt. Thrown into a cave with a fire-breathing dragon, she must rely on her wits and will to survive.",,Juan Carlos Fresnadillo,Dan Mazeau,Millie Bobby BrownRobin WrightShohreh Aghdashloo,85.0
Thanksgiving,2023,R,1h 46m,Horror Mystery Thriller,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the infamous holiday.",7.0,Eli Roth,Jeff RendellEli Roth,Jeff RendellEli Roth,106.0
Napoleon,2023,R,2h 38m,Action Adventure Biography,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",7.1,Ridley Scott,David Scarpa,Joaquin PhoenixVanessa KirbyTahar Rahim,158.0
Rebel Moon - Part One: A Child of Fire,2023,PG-13,2h 13m,Action Adventure Drama,"When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival.",,Zack Snyder,Shay HattenKurt JohnstadZack Snyder,Shay HattenKurt JohnstadZack Snyder,133.0
Saltburn,2023,R,2h 7m,Comedy Drama Thriller,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten.",7.6,Emerald Fennell,Emerald Fennell,Barry KeoghanJacob ElordiArchie Madekwe,127.0
A Haunting in Venice,2023,PG-13,1h 43m,Crime Drama Horror,"In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer.",6.6,Kenneth Branagh,Michael GreenAgatha Christie,Kenneth BranaghMichelle YeohJamie Dornan,103.0
Inside Out 2,2024,,,Animation Adventure Comedy,"Follow Riley, in her teenage years, encountering new emotions.",,Kelsey Mann,Meg LeFauve,Meg LeFauve,
The Holdovers,2023,R,2h 13m,Comedy Drama,A cranky history teacher at a remote prep school is forced to remain on campus over the holidays with a troubled student who has no place to go.,8.4,Alexander Payne,David Hemingson,Paul GiamattiDa'Vine Joy RandolphDominic Sessa,133.0
No Hard Feelings,2023,R,1h 43m,Comedy Romance,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying.",6.4,Gene Stupnitsky,Gene StupnitskyJohn Phillips,Jennifer LawrenceAndrew Barth FeldmanLaura Benanti,103.0
Barbie,2023,PG-13,1h 54m,Adventure Comedy Fantasy,Barbie suffers a crisis that leads her to question her world and her existence.,7.0,Greta Gerwig,Greta GerwigNoah Baumbach,Margot RobbieRyan GoslingIssa Rae,114.0
Spider-Man: Across the Spider-Verse,2023,PG,2h 20m,Animation Action Adventure,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",8.7,Joaquim Dos SantosKemp PowersJustin K. Thompson,Phil LordChristopher MillerDave Callaham,Phil LordChristopher MillerDave Callaham,140.0
The Hunger Games,2012,PG-13,2h 22m,Action Adventure Sci-Fi,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,7.2,Gary Ross,Gary RossSuzanne CollinsBilly Ray,Gary RossSuzanne CollinsBilly Ray,142.0
Pain Hustlers,2023,R,2h 3m,Crime Drama,"Liza dreams of a better life for herself and her daughter. Hired to work for a bankrupt pharmaceutical company, Liza skyrockets with sales and into the high life, putting her in the middle of a federal criminal conspiracy.",6.5,David Yates,Wells TowerEvan Hughes,Emily BluntChris EvansCatherine O'Hara,123.0
Nyad,2023,PG-13,2h 1m,Biography Drama Sport,"The remarkable true story of athlete Diana Nyad who, at the age of 60 and with the help of her best friend and coach, commits to achieving her life-long dream: a 110-mile open ocean swim from Cuba to Florida.",7.1,Jimmy ChinElizabeth Chai Vasarhelyi,Diana NyadJulia Cox,Annette BeningJodie FosterAnne Marie Kempf,121.0
Mission: Impossible - Dead Reckoning Part One,2023,PG-13,2h 43m,Action Adventure Thriller,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,7.8,Christopher McQuarrie,Bruce GellerChristopher McQuarrieErik Jendresen,Tom CruiseHayley AtwellVing Rhames,163.0
Priscilla,2023,R,1h 53m,Biography Drama Music,"When teenage Priscilla Beaulieu meets Elvis Presley, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend.",7.1,Sofia Coppola,Sofia CoppolaSandra HarmonPriscilla Presley,Cailee SpaenyJacob ElordiAri Cohen,113.0
Mean Girls,2024,,,Comedy Musical,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",,Samantha JayneArturo Perez Jr.,Tina Fey,Tina Fey,
Locked In,2023,TV-MA,1h 36m,Horror Mystery Thriller,"A kindly nurse tries to unlock the secrets of a coma patient's injury - and discovers the bitter rivalry, infidelity, betrayal and murder behind them.",5.1,Nour Wazzi,Rowan Joffe,Famke JanssenRose WilliamsAlex Hassell,96.0
Jawan,2023,Not Rated,2h 49m,Action Thriller,A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,7.1,Atlee,Sumit AroraAtleeRamanagirivasan,Shah Rukh KhanNayantharaVijay Sethupathi,169.0
Trolls Band Together,2023,PG,1h 31m,Animation Adventure Comedy,"Poppy discovers that Branch was once part of the boy band 'BroZone' with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue Floyd.",6.0,Walt DohrnTim Heitz,Elizabeth TippetThomas Dam,Anna KendrickJustin TimberlakeKenan Thompson,91.0
Anyone But You,2023,,,Comedy Romance,"After an amazing first date, Bea and Ben's fiery attraction turns ice cold - until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",,Will Gluck,Ilana WolpertWill Gluck,Ilana WolpertWill Gluck,
The Garfield Movie,2024,,,Animation Adventure Comedy,"Garfield is about to go on a wild outdoor adventure. After an unexpected reunion with his long-lost father - the cat Vic - Garfield and Odie are forced to abandon their pampered life to join Vic in a hilarious, high-stakes heist.",,Mark Dindal,Paul A. KaplanMark TorgoveDavid Reynolds,Paul A. KaplanMark TorgoveDavid Reynolds,
Old Dads,2023,R,1h 44m,Comedy,"Three best friends become fathers later in life and find themselves battling preschool principals, millennial CEOs, and anything created after 1987.",6.2,Bill Burr,Bill BurrBen Tishler,Bill BurrBobby CannavaleBokeem Woodbine,104.0
Wish,2023,PG,1h 35m,Animation Adventure Comedy,Wish will follow a young girl named Asha who wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,6.2,Chris BuckFawn Veerasunthorn,Jennifer LeeAllison MooreChris Buck,Jennifer LeeAllison MooreChris Buck,95.0
Poor Things,2023,R,2h 21m,Romance Sci-Fi,"The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",8.5,Yorgos Lanthimos,Tony McNamaraAlasdair Gray,Emma StoneMark RuffaloWillem Dafoe,141.0
Anatomy of a Fall,2023,R,2h 31m,Crime Drama Thriller,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the main witness.",7.9,Justine Triet,Justine TrietArthur Harari,Sandra HüllerSwann ArlaudMilo Machado Graner,151.0
X,2022,R,1h 45m,Horror Mystery Thriller,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",6.5,Ti West,Ti West,Mia GothJenna OrtegaBrittany Snow,105.0
Dream Scenario,2023,R,1h 42m,Comedy Horror,"A hapless family man finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. When his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom.",7.3,Kristoffer Borgli,Kristoffer Borgli,Lily BirdNicolas CageJulianne Nicholson,102.0
